4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
2 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220945, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
1 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
0 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220946, 0 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
2 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
0 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220946, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
1 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
0 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
2 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220946, 0 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
1 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
2 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
0 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220946, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
0 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
0 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
4 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220947, 3 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
0 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
0 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
0 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220947, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
1 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
2 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
0 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220947, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
0 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
0 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
3 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220947, 3 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
3 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220947, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
6 %, 1 %, 40960 MiB, 30800 MiB, 9527 MiB
4 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220948, 4 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
0 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
4 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220948, 2 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
2 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
4 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220948, 4 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
1 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
6 %, 1 %, 40960 MiB, 30800 MiB, 9527 MiB
3 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220948, 0 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
4 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
0 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
4 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220949, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
2 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220949, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
4 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
2 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220949, 3 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
1 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
6 %, 1 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220949, 3 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
2 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
2 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220950, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
4 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
4 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220950, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
1 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
2 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
4 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220950, 3 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
6 %, 1 %, 40960 MiB, 30800 MiB, 9527 MiB
2 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220950, 4 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
0 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
4 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220950, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
6 %, 1 %, 40960 MiB, 30800 MiB, 9527 MiB
0 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220951, 3 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
2 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
5 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220951, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
2 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
4 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220951, 4 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
1 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
2 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220951, 4 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
0 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
2 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
4 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220952, 1 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
3 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
4 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
8 %, 1 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220952, 4 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
0 %, 0 %, 40960 MiB, 32388 MiB, 7939 MiB
5 %, 0 %, 40960 MiB, 30800 MiB, 9527 MiB
0 %, 0 %, 40960 MiB, 31224 MiB, 9103 MiB
1766220952, 5 %, 0 %, 40960 MiB, 32390 MiB, 7937 MiB
